# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Mommsen an Brunn Charlottenburg,12,März 1892 - 2 - Ich kann an der Sache nichts ändern; sie ist mir leid, aber einen Vorwurf habe ich mir nicht zu machen.
1-1	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-2	an	APPR	an	_	O	O	
1-3	Brunn	NN	Brunn	_	O	O	
1-4	Charlottenburg,12,März	NE	<unknown>	_	O	O	
1-5	1892	CARD	@card@	_	O	O	
1-6	-	$(	-	_	O	O	
1-7	2	CARD	2	_	O	O	
1-8	-	$(	-	_	O	O	
1-9	Ich	PPER	ich	_	O	O	
1-10	kann	VMFIN	können	_	O	O	
1-11	an	APPR	an	_	O	O	
1-12	der	ART	die	_	O	O	
1-13	Sache	NN	Sache	_	O	O	
1-14	nichts	PIS	nichts	_	O	O	
1-15	ändern	VVINF	ändern	_	O	O	
1-16	;	$.	;	_	O	O	
1-17	sie	PPER	sie	_	O	O	
1-18	ist	VAFIN	sein	_	O	O	
1-19	mir	PPER	ich	_	O	O	
1-20	leid	ADJD	leid	_	O	O	
1-21	,	$,	,	_	O	O	
1-22	aber	KON	aber	_	O	O	
1-23	einen	ART	eine	_	O	O	
1-24	Vorwurf	NN	Vorwurf	_	O	O	
1-25	habe	VAFIN	haben	_	O	O	
1-26	ich	PPER	ich	_	O	O	
1-27	mir	PRF	ich	_	O	O	
1-28	nicht	PTKNEG	nicht	_	O	O	
1-29	zu	PTKZU	zu	_	O	O	
1-30	machen	VVINF	machen	_	O	O	
1-31	.	$.	.	_	O	O	

#id=2
#text=Leb wohl.
2-1	Leb	VVIMP	leben	_	O	O	
2-2	wohl	ADV	wohl	_	O	O	
2-3	.	$.	.	_	O	O	

#id=3
#text=Ch. 12/3	92 Bein M,
3-1	Ch.	NE	Ch.	_	O	O	
3-2	12/3	CARD	12/3	_	O	O	
3-3	92	CARD	92	_	O	O	
3-4	Bein	NN	Bein	_	O	O	
3-5	M	NE	M	_	O	O	
3-6	,	$,	,	_	O	O	

