# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text='	Mommsen	an	Brunn Berlin, Mai 1893 - 5 - Jacoby, L,, Professor, Berlin.
1-1	'	$(	'	_	O	O	
1-2	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-3	an	APPR	an	_	O	O	
1-4	Brunn	NN	Brunn	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-5	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-6	,	$,	,	_	O	O	
1-7	Mai	NN	Mai	_	O	O	
1-8	1893	CARD	1893	_	O	O	
1-9	-	$(	-	_	O	O	
1-10	5	CARD	5	_	O	O	
1-11	-	$(	-	_	O	O	
1-12	Jacoby	NE	Jacoby	_	O	O	
1-13	,	$,	,	_	O	O	
1-14	L	NE	L	_	O	O	
1-15	,	$,	,	_	O	O	
1-16	,	$,	,	_	O	O	
1-17	Professor	NN	Professor	_	O	O	
1-18	,	$,	,	_	O	O	
1-19	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
1-20	.	$.	.	_	O	O	

#id=2
#text=Jaeger, 0., Director Dr., Köln.
2-1	Jaeger	NN	<unknown>	_	O	O	
2-2	,	$,	,	_	O	O	
2-3	0	CARD	@card@	_	O	O	
2-4	.	$.	.	_	O	O	
2-5	,	$,	,	_	O	O	
2-6	Director	NE	Director	_	O	O	
2-7	Dr.	NN	Dr.	_	O	O	
2-8	,	$,	,	_	O	O	
2-9	Köln	NE	Köln	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
2-10	.	$.	.	_	O	O	

#id=3
#text=Jonas, Br., Schulinspector Dr., Berlin.
3-1	Jonas	NE	Jonas	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
3-2	,	$,	,	_	O	O	
3-3	Br.	NE	Br.	_	O	O	
3-4	,	$,	,	_	O	O	
3-5	Schulinspector	NN	<unknown>	_	O	O	
3-6	Dr.	NN	Dr.	_	O	O	
3-7	,	$,	,	_	O	O	
3-8	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
3-9	.	$.	.	_	O	O	

#id=4
#text=Kaibel, G. Professor Dr., Strassburg i. Els.
4-1	Kaibel	ADJD	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
4-2	,	$,	,	_	O	O	
4-3	G.	NE	G.	_	O	O	
4-4	Professor	NN	Professor	_	O	O	
4-5	Dr.	NN	Dr.	_	O	O	
4-6	,	$,	,	_	O	O	
4-7	Strassburg	NE	Straßburg	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
4-8	i.	APPR	in	_	O	O	
4-9	Els	NE	Els	_	O	O	
4-10	.	$.	.	_	O	O	

#id=5
#text=Keil, H., Professor Dr., Gebeimrath, Halle a. S. Kiepert, H., Professor Dr., Berlin.
5-1	Keil	NE	Keil	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
5-2	,	$,	,	_	O	O	
5-3	H.	NE	H.	_	O	O	
5-4	,	$,	,	_	O	O	
5-5	Professor	NN	Professor	_	O	O	
5-6	Dr.	NN	Dr.	_	O	O	
5-7	,	$,	,	_	O	O	
5-8	Gebeimrath	NE	<unknown>	_	O	O	
5-9	,	$,	,	_	O	O	
5-10	Halle	NN	Halle	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
5-11	a.	APPR	a.	_	O	O	
5-12	S.	NE	S.	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
5-13	Kiepert	NE	<unknown>	_	I-webanno.custom.LetterEntity_	I-PERmentioned	
5-14	,	$,	,	_	O	O	
5-15	H.	NE	H.	_	O	O	
5-16	,	$,	,	_	O	O	
5-17	Professor	NN	Professor	_	O	O	
5-18	Dr.	NN	Dr.	_	O	O	
5-19	,	$,	,	_	O	O	
5-20	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
5-21	.	$.	.	_	O	O	

#id=6
#text=von Kieseritzky, G., Professor Dr., St. Petersburg.
6-1	von	APPR	von	_	O	O	
