# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Mommsen an Brunn ohne Ort /ohne Datum Bisogna compatirmi Poiché gisogna dirti Non avrei mai fatto colle Muse qualcun patto E' questo il primo lavoro Che mi fecere far costoro
1-1	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-2	an	APPR	an	_	O	O	
1-3	Brunn	NN	Brunn	_	O	O	
1-4	ohne	APPR	ohne	_	O	O	
1-5	Ort	NN	Ort	_	O	O	
1-6	/ohne	ADJA	<unknown>	_	O	O	
1-7	Datum	NN	Datum	_	O	O	
1-8	Bisogna	NE	<unknown>	_	O	O	
1-9	compatirmi	NE	<unknown>	_	O	O	
1-10	Poiché	NN	<unknown>	_	O	O	
1-11	gisogna	NE	<unknown>	_	O	O	
1-12	dirti	NE	<unknown>	_	O	O	
1-13	Non	NE	<UNKNOWN>	_	O	O	
1-14	avrei	VVFIN	<unknown>	_	O	O	
1-15	mai	NE	Mai	_	O	O	
1-16	fatto	NE	<unknown>	_	O	O	
1-17	colle	ADJA	<unknown>	_	O	O	
1-18	Muse	NN	Mus|Muse	_	O	O	
1-19	qualcun	NE	<unknown>	_	O	O	
1-20	patto	NE	<unknown>	_	O	O	
1-21	E	NN	E	_	O	O	
1-22	'	$(	'	_	O	O	
1-23	questo	NE	<unknown>	_	O	O	
1-24	il	NE	il	_	O	O	
1-25	primo	NE	Primo	_	O	O	
1-26	lavoro	VVFIN	<unknown>	_	O	O	
1-27	Che	NE	Che	_	O	O	
1-28	mi	ADJA	<unknown>	_	O	O	
1-29	fecere	ADJA	<unknown>	_	O	O	
1-30	far	NE	<unknown>	_	O	O	
1-31	costoro	VVFIN	<unknown>	_	O	O	

