# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=191 4 Gerhard an Braun Berlin, 22. April 1844 einmal mit Wahle über meinen Ihnen bekannten Zustand sprächen; was er zu zwei verschiedenen Zeiten mir rieth, Gutmannsche Bäder zu gebrauchen, habe ich mir zwar eingerichtet und befolgt, mich aber davon eher angegriffen als gefördert gefunden, während ich es an minder gewaltsamen kalten Waschungen nicht fehlen lasse.
1-1	191	CARD	@card@	_	O	O	
1-2	4	CARD	4	_	O	O	
1-3	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-4	an	APPR	an	_	O	O	
1-5	Braun	NE	Braun	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-6	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-7	,	$,	,	_	O	O	
1-8	22	CARD	22	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-9	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-10	April	NN	April	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-11	1844	CARD	1844	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-12	einmal	ADV	einmal	_	O	O	
1-13	mit	APPR	mit	_	O	O	
1-14	Wahle	NN	<unknown>	_	O	O	
1-15	über	APPR	über	_	O	O	
1-16	meinen	PPOSAT	mein	_	O	O	
1-17	Ihnen	PPER	Sie	_	O	O	
1-18	bekannten	ADJA	bekannt	_	O	O	
1-19	Zustand	NN	Zustand	_	O	O	
1-20	sprächen	VVFIN	sprechen	_	O	O	
1-21	;	$.	;	_	O	O	
1-22	was	PWS	was	_	O	O	
1-23	er	PPER	er	_	O	O	
1-24	zu	APPR	zu	_	O	O	
1-25	zwei	CARD	zwei	_	O	O	
1-26	verschiedenen	ADJA	verschieden	_	O	O	
1-27	Zeiten	NN	Zeit	_	O	O	
1-28	mir	PRF	ich	_	O	O	
1-29	rieth	NE	<unknown>	_	O	O	
1-30	,	$,	,	_	O	O	
1-31	Gutmannsche	VVFIN	<unknown>	_	O	O	
1-32	Bäder	NN	Bad	_	O	O	
1-33	zu	PTKZU	zu	_	O	O	
1-34	gebrauchen	VVINF	gebrauchen	_	O	O	
1-35	,	$,	,	_	O	O	
1-36	habe	VAFIN	haben	_	O	O	
1-37	ich	PPER	ich	_	O	O	
1-38	mir	PRF	ich	_	O	O	
1-39	zwar	ADV	zwar	_	O	O	
1-40	eingerichtet	VVPP	einrichten	_	O	O	
1-41	und	KON	und	_	O	O	
1-42	befolgt	VVFIN	befolgen	_	O	O	
1-43	,	$,	,	_	O	O	
1-44	mich	PRF	ich	_	O	O	
1-45	aber	ADV	aber	_	O	O	
1-46	davon	PAV	davon	_	O	O	
1-47	eher	ADV	eher	_	O	O	
1-48	angegriffen	ADJD	angegriffen	_	O	O	
1-49	als	KOKOM	als	_	O	O	
1-50	gefördert	VVPP	fördern	_	O	O	
1-51	gefunden	VVPP	finden	_	O	O	
1-52	,	$,	,	_	O	O	
1-53	während	KOUS	während	_	O	O	
1-54	ich	PPER	ich	_	O	O	
1-55	es	PPER	es	_	O	O	
1-56	an	APZR	an	_	O	O	
1-57	minder	ADJD	minder	_	O	O	
1-58	gewaltsamen	ADJA	gewaltsam	_	O	O	
1-59	kalten	ADJA	kalt	_	O	O	
1-60	Waschungen	NN	Waschung	_	O	O	
1-61	nicht	PTKNEG	nicht	_	O	O	
1-62	fehlen	VVINF	fehlen	_	O	O	
1-63	lasse	VVFIN	lassen	_	O	O	
1-64	.	$.	.	_	O	O	

#id=2
#text=Wenn die Sommerszeit anfängt, schicken die Allöopathen in Bäder; was können die Homöopathen rathen, damit die gute Jahreszeit nicht ungenutzt vorübergehe.
2-1	Wenn	KOUS	wenn	_	O	O	
2-2	die	ART	die	_	O	O	
2-3	Sommerszeit	NN	Sommerszeit	_	O	O	
2-4	anfängt	VVFIN	anfangen	_	O	O	
2-5	,	$,	,	_	O	O	
2-6	schicken	VVFIN	schicken	_	O	O	
2-7	die	ART	die	_	O	O	
2-8	Allöopathen	NN	<unknown>	_	O	O	
2-9	in	APPR	in	_	O	O	
2-10	Bäder	NN	Bad	_	O	O	
2-11	;	$.	;	_	O	O	
2-12	was	PWS	was	_	O	O	
2-13	können	VMFIN	können	_	O	O	
2-14	die	ART	die	_	O	O	
2-15	Homöopathen	NN	Homöopath	_	O	O	
2-16	rathen	NE	<unknown>	_	O	O	
2-17	,	$,	,	_	O	O	
2-18	damit	KOUS	damit	_	O	O	
2-19	die	ART	die	_	O	O	
2-20	gute	ADJA	gut	_	O	O	
2-21	Jahreszeit	NN	Jahreszeit	_	O	O	
2-22	nicht	PTKNEG	nicht	_	O	O	
2-23	ungenutzt	ADJD	ungenutzt	_	O	O	
2-24	vorübergehe	VVFIN	vorübergehen	_	O	O	
2-25	.	$.	.	_	O	O	

#id=3
#text=Petroleum nehme ich seit ein paar Tagen.
3-1	Petroleum	NN	Petroleum	_	O	O	
3-2	nehme	VVFIN	nehmen	_	O	O	
3-3	ich	PPER	ich	_	O	O	
3-4	seit	APPR	seit	_	O	O	
3-5	ein	ART	eine	_	O	O	
3-6	paar	PIAT	paar	_	O	O	
3-7	Tagen	NN	Tag	_	O	O	
3-8	.	$.	.	_	O	O	

