# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=I , 64 Henzen an Gerhard 15/11/1852 ( s.u. Braun/Gerhard ) 2 heit Braun und Brunn hatten setzen lassen, wegen allerlei impicci noch nicht abgezogen waren, als ich zurückkam.
1-1	I	FM	I	_	O	O	
1-2	,	$,	,	_	O	O	
1-3	64	CARD	64	_	O	O	
1-4	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-5	an	APPR	an	_	O	O	
1-6	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-7	15/11/1852	CARD	@card@	_	O	O	
1-8	(	$(	(	_	O	O	
1-9	s.u.	NE	<unknown>	_	O	O	
1-10	Braun/Gerhard	NE	<unknown>	_	O	O	
1-11	)	$(	)	_	O	O	
1-12	2	CARD	2	_	O	O	
1-13	heit	NN	<unknown>	_	O	O	
1-14	Braun	NE	Braun	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-15	und	KON	und	_	O	O	
1-16	Brunn	NN	Brunn	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-17	hatten	VAFIN	haben	_	O	O	
1-18	setzen	VVINF	setzen	_	O	O	
1-19	lassen	VVINF	lassen	_	O	O	
1-20	,	$,	,	_	O	O	
1-21	wegen	APPR	wegen	_	O	O	
1-22	allerlei	PIAT	allerlei	_	O	O	
1-23	impicci	NE	<unknown>	_	O	O	
1-24	noch	ADV	noch	_	O	O	
1-25	nicht	PTKNEG	nicht	_	O	O	
1-26	abgezogen	VVPP	abziehen	_	O	O	
1-27	waren	VAFIN	sein	_	O	O	
1-28	,	$,	,	_	O	O	
1-29	als	KOUS	als	_	O	O	
1-30	ich	PPER	ich	_	O	O	
1-31	zurückkam	VVFIN	zurückkommen	_	O	O	
1-32	.	$.	.	_	O	O	

#id=2
#text=Unentbehrlich dürfte also Brunn nicht sein, sobald jeder thut, was ihm zukommt, obwohl mir persönlich sein Abgang vielfach leid thut.
2-1	Unentbehrlich	ADJD	unentbehrlich	_	O	O	
2-2	dürfte	VMFIN	dürfen	_	O	O	
2-3	also	ADV	also	_	O	O	
2-4	Brunn	NN	Brunn	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
2-5	nicht	PTKNEG	nicht	_	O	O	
2-6	sein	VAINF	sein	_	O	O	
2-7	,	$,	,	_	O	O	
2-8	sobald	KOUS	sobald	_	O	O	
2-9	jeder	PIAT	jede	_	O	O	
2-10	thut	NN	<unknown>	_	O	O	
2-11	,	$,	,	_	O	O	
2-12	was	PRELS	was	_	O	O	
2-13	ihm	PPER	er	_	O	O	
2-14	zukommt	VVFIN	zukommen	_	O	O	
2-15	,	$,	,	_	O	O	
2-16	obwohl	KOUS	obwohl	_	O	O	
