# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=\ 10 t-~ az~n an Gerhard -:} ,$/VIII/52 3 nisse und schon deshalb wär eine gr}1ündliche Verhandlung der angeregten Frage, - soll die ganze Institusorganisazion nicht flir ein schn6des Gaukelspiel erklärt werden - durchaus nothwendig und ongnungsgemäß.
1-1	\	XY	\	_	O	O	
1-2	10	CARD	10	_	O	O	
1-3	t-~	ADJA	<unknown>	_	O	O	
1-4	az~n	NE	<unknown>	_	O	O	
1-5	an	APPR	an	_	O	O	
1-6	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-7	-	$(	-	_	O	O	
1-8	:	$.	:	_	O	O	
1-9	}	$(	}	_	O	O	
1-10	,$/VIII/52	CARD	<unknown>	_	O	O	
1-11	3	CARD	3	_	O	O	
1-12	nisse	NN	Nisse	_	O	O	
1-13	und	KON	und	_	O	O	
1-14	schon	ADV	schon	_	O	O	
1-15	deshalb	PAV	deshalb	_	O	O	
1-16	wär	ADJD	<unknown>	_	O	O	
1-17	eine	ART	eine	_	O	O	
1-18	gr}1ündliche	ADJA	<unknown>	_	O	O	
1-19	Verhandlung	NN	Verhandlung	_	O	O	
1-20	der	ART	die	_	O	O	
1-21	angeregten	ADJA	angeregt	_	O	O	
1-22	Frage	NN	Frage	_	O	O	
1-23	,	$,	,	_	O	O	
1-24	-	$(	-	_	O	O	
1-25	soll	VMFIN	sollen	_	O	O	
1-26	die	ART	die	_	O	O	
1-27	ganze	ADJA	ganz	_	O	O	
1-28	Institusorganisazion	NN	<unknown>	_	O	O	
1-29	nicht	PTKNEG	nicht	_	O	O	
1-30	flir	NE	<unknown>	_	O	O	
1-31	ein	ART	eine	_	O	O	
1-32	schn6des	ADJA	<unknown>	_	O	O	
1-33	Gaukelspiel	NN	Gaukelspiel	_	O	O	
1-34	erklärt	VVPP	erklären	_	O	O	
1-35	werden	VAINF	werden	_	O	O	
1-36	-	$(	-	_	O	O	
1-37	durchaus	ADV	durchaus	_	O	O	
1-38	nothwendig	ADJD	<unknown>	_	O	O	
1-39	und	KON	und	_	O	O	
1-40	ongnungsgemäß	ADJD	<unknown>	_	O	O	
1-41	.	$.	.	_	O	O	

#id=2
#text=I'.
2-1	I	NE	I	_	O	O	
2-2	'	$(	'	_	O	O	
2-3	.	$.	.	_	O	O	

#id=3
#text=Secchi hätte die Bekanntmachung der aufp;enommenen Protokolle gern verschoben, ich habe aber auf ihr soforti~es Erscheinen dringen zu müssen geglaubt.
3-1	Secchi	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
3-2	hätte	VAFIN	haben	_	O	O	
3-3	die	ART	die	_	O	O	
3-4	Bekanntmachung	NN	Bekanntmachung	_	O	O	
3-5	der	ART	die	_	O	O	
3-6	aufp	NN	<unknown>	_	O	O	
3-7	;	$.	;	_	O	O	
3-8	enommenen	ADJA	<unknown>	_	O	O	
3-9	Protokolle	NN	Protokoll	_	O	O	
3-10	gern	ADV	gern	_	O	O	
3-11	verschoben	VVPP	verschieben	_	O	O	
3-12	,	$,	,	_	O	O	
3-13	ich	PPER	ich	_	O	O	
3-14	habe	VAFIN	haben	_	O	O	
3-15	aber	ADV	aber	_	O	O	
3-16	auf	APPR	auf	_	O	O	
3-17	ihr	PPOSAT	ihr	_	O	O	
3-18	soforti~es	ADJA	<unknown>	_	O	O	
3-19	Erscheinen	NN	Erscheinen	_	O	O	
3-20	dringen	VVINF	dringen	_	O	O	
3-21	zu	PTKZU	zu	_	O	O	
3-22	müssen	VMINF	müssen	_	O	O	
3-23	geglaubt	VVPP	glauben	_	O	O	
3-24	.	$.	.	_	O	O	

#id=4
#text=Nur seine Zusätze, die er in meine Berichte eingerückt, habe ich mir gefallen lassen.
4-1	Nur	ADV	nur	_	O	O	
4-2	seine	PPOSAT	sein	_	O	O	
4-3	Zusätze	NN	Zusatz	_	O	O	
4-4	,	$,	,	_	O	O	
4-5	die	PRELS	die	_	O	O	
4-6	er	PPER	er	_	O	O	
4-7	in	APPR	in	_	O	O	
4-8	meine	PPOSAT	mein	_	O	O	
4-9	Berichte	NN	Bericht	_	O	O	
4-10	eingerückt	VVPP	einrücken	_	O	O	
4-11	,	$,	,	_	O	O	
4-12	habe	VAFIN	haben	_	O	O	
4-13	ich	PPER	ich	_	O	O	
4-14	mir	PPER	ich	_	O	O	
4-15	gefallen	VVPP	fallen|gefallen	_	O	O	
4-16	lassen	VVINF	lassen	_	O	O	
4-17	.	$.	.	_	O	O	

#id=5
#text=E Braun.
5-1	E	NN	E	_	B-webanno.custom.LetterEntity_	B-PERauthor	
5-2	Braun	NE	Braun	_	I-webanno.custom.LetterEntity_	I-PERauthor	
5-3	.	$.	.	_	O	O	

#id=6
#text=Hochzuverehrender Herr Professor Sie erlauben mir wohl, eine Bitte anzuhängen.
6-1	Hochzuverehrender	ADJA	<unknown>	_	O	O	
6-2	Herr	NN	Herr	_	O	O	
6-3	Professor	NN	Professor	_	O	O	
6-4	Sie	PPER	Sie	_	O	O	
6-5	erlauben	VVFIN	erlauben	_	O	O	
6-6	mir	PPER	ich	_	O	O	
6-7	wohl	ADV	wohl	_	O	O	
6-8	,	$,	,	_	O	O	
6-9	eine	ART	eine	_	O	O	
6-10	Bitte	NN	Bitte	_	O	O	
6-11	anzuhängen	VVIZU	anhängen	_	O	O	
6-12	.	$.	.	_	O	O	

#id=7
#text=Ich h6re, daß Toelken einen ~ufsatz liber G6hler geschrieben hat, den ich wohl für meine Arbeiten nicht entbehren kann.
