# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=4 \ , ' Henzen an Gerhard 12~/IV/53 Ich stimme daher ihm g,arin'ganz bei, dß.
1-1	4	CARD	4	_	O	O	
1-2	\	XY	\	_	O	O	
1-3	,	$,	,	_	O	O	
1-4	'	$(	'	_	O	O	
1-5	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-6	an	APPR	an	_	O	O	
1-7	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-8	12~/IV/53	VVFIN	<unknown>	_	O	O	
1-9	Ich	PPER	ich	_	O	O	
1-10	stimme	VVFIN	stimmen	_	O	O	
1-11	daher	PAV	daher	_	O	O	
1-12	ihm	PPER	er	_	O	O	
1-13	g,arin'ganz	ADJD	<unknown>	_	O	O	
1-14	bei	PTKVZ	bei	_	O	O	
1-15	,	$,	,	_	O	O	
1-16	dß	VVFIN	<unknown>	_	O	O	
1-17	.	$.	.	_	O	O	

#id=2
#text=Sie vor allen Dingen u. mit aller ~ntschiedenheit sich ganz auf die Negative werfen müßen.
2-1	Sie	PPER	Sie	_	O	O	
2-2	vor	APPR	vor	_	O	O	
2-3	allen	PIAT	alle	_	O	O	
2-4	Dingen	NN	Ding	_	O	O	
2-5	u.	APPR	um	_	O	O	
2-6	mit	APPR	mit	_	O	O	
2-7	aller	PIAT	alle	_	O	O	
2-8	~ntschiedenheit	NN	<unknown>	_	O	O	
2-9	sich	PRF	sich	_	O	O	
2-10	ganz	ADV	ganz	_	O	O	
2-11	auf	APPR	auf	_	O	O	
2-12	die	ART	die	_	O	O	
2-13	Negative	NN	Negativ|Negative	_	O	O	
2-14	werfen	VVINF	werfen	_	O	O	
2-15	müßen	VVFIN	<unknown>	_	O	O	
2-16	.	$.	.	_	O	O	

#id=3
#text=Ob dann hinterher Temporisiren nöthig, oder ob Sie rasch vorwärts gehen können, was, wie ich gestern schrieb, der Franzosen wegen erwünscht sein würde, können ~ie in Berlin besser beurtheilen.
3-1	Ob	KOUS	ob	_	O	O	
3-2	dann	ADV	dann	_	O	O	
3-3	hinterher	ADV	hinterher	_	O	O	
3-4	Temporisiren	NN	<unknown>	_	O	O	
3-5	nöthig	ADJD	<unknown>	_	O	O	
3-6	,	$,	,	_	O	O	
3-7	oder	KON	oder	_	O	O	
3-8	ob	KOUS	ob	_	O	O	
3-9	Sie	PPER	Sie	_	O	O	
3-10	rasch	ADJD	rasch	_	O	O	
3-11	vorwärts	ADV	vorwärts	_	O	O	
3-12	gehen	VVINF	gehen	_	O	O	
3-13	können	VMFIN	können	_	O	O	
3-14	,	$,	,	_	O	O	
3-15	was	PWS	was	_	O	O	
3-16	,	$,	,	_	O	O	
3-17	wie	KOUS	wie	_	O	O	
3-18	ich	PPER	ich	_	O	O	
3-19	gestern	ADV	gestern	_	O	O	
3-20	schrieb	VVFIN	schreiben	_	O	O	
3-21	,	$,	,	_	O	O	
3-22	der	ART	die	_	O	O	
3-23	Franzosen	NN	Franzose	_	O	O	
3-24	wegen	APPR	wegen	_	O	O	
3-25	erwünscht	ADJD	erwünscht	_	O	O	
3-26	sein	VAINF	sein	_	O	O	
3-27	würde	VAFIN	werden	_	O	O	
3-28	,	$,	,	_	O	O	
3-29	können	VMFIN	können	_	O	O	
3-30	~ie	ADJD	<unknown>	_	O	O	
3-31	in	APPR	in	_	O	O	
3-32	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
3-33	besser	ADJD	gut	_	O	O	
3-34	beurtheilen	VVINF	<unknown>	_	O	O	
3-35	.	$.	.	_	O	O	

#id=4
#text=Mir ware es natürlich lieb zu wissen, wie ich daran bin.
4-1	Mir	PPER	ich	_	O	O	
4-2	ware	TRUNC	<unknown>	_	O	O	
4-3	es	PPER	es	_	O	O	
4-4	natürlich	ADV	natürlich	_	O	O	
4-5	lieb	ADJD	lieb	_	O	O	
4-6	zu	PTKZU	zu	_	O	O	
4-7	wissen	VVINF	wissen	_	O	O	
4-8	,	$,	,	_	O	O	
4-9	wie	KOUS	wie	_	O	O	
4-10	ich	PPER	ich	_	O	O	
4-11	daran	PAV	daran	_	O	O	
4-12	bin	VAFIN	sein	_	O	O	
4-13	.	$.	.	_	O	O	

#id=5
#text=Kestner's Grabschrift ( hoffentlich setzt man sie ihm nicht ) bezeichnet uns allzu traurig das ganze öitle Treiben des Verstorbnen :"Er lebte gut, er lebte schön; drum wird er auch nicht untergehn", so ungefähr.
5-1	Kestner's	VVIMP	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
5-2	Grabschrift	NN	Grabschrift	_	O	O	
5-3	(	$(	(	_	O	O	
5-4	hoffentlich	ADV	hoffentlich	_	O	O	
5-5	setzt	VVFIN	setzen	_	O	O	
5-6	man	PIS	man	_	O	O	
5-7	sie	PPER	sie	_	O	O	
5-8	ihm	PPER	er	_	O	O	
5-9	nicht	PTKNEG	nicht	_	O	O	
5-10	)	$(	)	_	O	O	
5-11	bezeichnet	VVFIN	bezeichnen	_	O	O	
5-12	uns	PPER	wir	_	O	O	
5-13	allzu	PTKA	allzu	_	O	O	
