# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=f- \ Ohne Nummer Henzen an Gerhard 19/VIII/54 Verehrter Herr Professor Vorgestern erhielt ich dh.
1-1	f-	TRUNC	F-	_	O	O	
1-2	\	XY	\	_	O	O	
1-3	Ohne	APPR	ohne	_	O	O	
1-4	Nummer	NN	Nummer	_	O	O	
1-5	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-6	an	APPR	an	_	O	O	
1-7	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-8	19/VIII/54	CARD	<unknown>	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-9	Verehrter	ADJA	verehrt	_	O	O	
1-10	Herr	NN	Herr	_	O	O	
1-11	Professor	NN	Professor	_	O	O	
1-12	Vorgestern	NN	<unknown>	_	O	O	
1-13	erhielt	VVFIN	erhalten	_	O	O	
1-14	ich	PPER	ich	_	O	O	
1-15	dh.	NE	<unknown>	_	O	O	

#id=2
#text=die Gesandtschaft ein Schreiben des Ninisters Raumer u. ein k5nigl.
2-1	die	ART	die	_	O	O	
2-2	Gesandtschaft	NN	Gesandtschaft	_	O	O	
2-3	ein	ART	eine	_	O	O	
2-4	Schreiben	NN	Schreiben	_	O	O	
2-5	des	ART	die	_	O	O	
2-6	Ninisters	NN	<unknown>	_	O	O	
2-7	Raumer	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
2-8	u.	APPR	um	_	O	O	
2-9	ein	ART	eine	_	O	O	
2-10	k5nigl	NN	<unknown>	_	O	O	
2-11	.	$.	.	_	O	O	

#id=3
#text=Patent als Professor in partibus, das mir sehr unerwartet kam.
3-1	Patent	ADJD	patent	_	O	O	
3-2	als	KOKOM	als	_	O	O	
3-3	Professor	NN	Professor	_	O	O	
3-4	in	APPR	in	_	O	O	
3-5	partibus	NN	<unknown>	_	O	O	
3-6	,	$,	,	_	O	O	
3-7	das	PRELS	die	_	O	O	
3-8	mir	PPER	ich	_	O	O	
3-9	sehr	ADV	sehr	_	O	O	
3-10	unerwartet	ADJD	unerwartet	_	O	O	
3-11	kam	VVFIN	kommen	_	O	O	
3-12	.	$.	.	_	O	O	

#id=4
#text=Wahrscheinlieh verdanke ich es ganz besonders Ihnen u. Ihrer Verwendung u. will daher nicht z5gern, Ihnen meinen herzlichen Dank dafür zu sagen.
4-1	Wahrscheinlieh	NN	<unknown>	_	O	O	
4-2	verdanke	VVFIN	verdanken	_	O	O	
4-3	ich	PPER	ich	_	O	O	
4-4	es	PPER	es	_	O	O	
4-5	ganz	ADV	ganz	_	O	O	
4-6	besonders	ADV	besonders	_	O	O	
4-7	Ihnen	PPER	Sie	_	O	O	
4-8	u.	APPR	um	_	O	O	
4-9	Ihrer	PPOSAT	ihr	_	O	O	
4-10	Verwendung	NN	Verwendung	_	O	O	
4-11	u.	KON	und	_	O	O	
4-12	will	VMFIN	wollen	_	O	O	
4-13	daher	PAV	daher	_	O	O	
4-14	nicht	PTKNEG	nicht	_	O	O	
4-15	z5gern	VVINF	<unknown>	_	O	O	
4-16	,	$,	,	_	O	O	
4-17	Ihnen	PPER	Sie	_	O	O	
4-18	meinen	VVFIN	meinen	_	O	O	
4-19	herzlichen	ADJA	herzlich	_	O	O	
4-20	Dank	NN	Dank	_	O	O	
4-21	dafür	PAV	dafür	_	O	O	
4-22	zu	PTKZU	zu	_	O	O	
4-23	sagen	VVINF	sagen	_	O	O	
4-24	.	$.	.	_	O	O	

#id=5
#text=Es scheint mir, daß damit flir mich erreicht ist, waB ich so lange gew1inscht, nämlich eine gewisse Garantie für künftige Zeiten, und, so komisch mir diese Professur in partibus auch sonst vorkommt, so bin ich doch in dieser Hinsicht sehr froh darüber und Ihnen sehr dankbar.
5-1	Es	PPER	es	_	O	O	
5-2	scheint	VVFIN	scheinen	_	O	O	
5-3	mir	PPER	ich	_	O	O	
5-4	,	$,	,	_	O	O	
5-5	daß	KOUS	dass	_	O	O	
5-6	damit	PAV	damit	_	O	O	
5-7	flir	NE	<unknown>	_	O	O	
5-8	mich	PRF	ich	_	O	O	
5-9	erreicht	VVPP	erreichen	_	O	O	
5-10	ist	VAFIN	sein	_	O	O	
5-11	,	$,	,	_	O	O	
5-12	waB	VVFIN	<unknown>	_	O	O	
5-13	ich	PPER	ich	_	O	O	
5-14	so	ADV	so	_	O	O	
5-15	lange	ADV	lange	_	O	O	
5-16	gew1inscht	VVFIN	<unknown>	_	O	O	
5-17	,	$,	,	_	O	O	
5-18	nämlich	ADV	nämlich	_	O	O	
5-19	eine	ART	eine	_	O	O	
5-20	gewisse	ADJA	gewiss	_	O	O	
5-21	Garantie	NN	Garantie	_	O	O	
5-22	für	APPR	für	_	O	O	
5-23	künftige	ADJA	künftig	_	O	O	
5-24	Zeiten	NN	Zeit	_	O	O	
5-25	,	$,	,	_	O	O	
5-26	und	KON	und	_	O	O	
5-27	,	$,	,	_	O	O	
5-28	so	ADV	so	_	O	O	
5-29	komisch	ADJD	komisch	_	O	O	
5-30	mir	PPER	ich	_	O	O	
5-31	diese	PDAT	dies	_	O	O	
5-32	Professur	NN	Professur	_	O	O	
5-33	in	APPR	in	_	O	O	
5-34	partibus	NN	<unknown>	_	O	O	
5-35	auch	ADV	auch	_	O	O	
5-36	sonst	ADV	sonst	_	O	O	
5-37	vorkommt	VVFIN	vorkommen	_	O	O	
5-38	,	$,	,	_	O	O	
5-39	so	ADV	so	_	O	O	
5-40	bin	VAFIN	sein	_	O	O	
5-41	ich	PPER	ich	_	O	O	
5-42	doch	ADV	doch	_	O	O	
5-43	in	APPR	in	_	O	O	
5-44	dieser	PDAT	dies	_	O	O	
5-45	Hinsicht	NN	Hinsicht	_	O	O	
5-46	sehr	ADV	sehr	_	O	O	
5-47	froh	ADJD	froh	_	O	O	
5-48	darüber	PAV	darüber	_	O	O	
5-49	und	KON	und	_	O	O	
5-50	Ihnen	PPER	Sie	_	O	O	
5-51	sehr	ADV	sehr	_	O	O	
5-52	dankbar	ADJD	dankbar	_	O	O	
5-53	.	$.	.	_	O	O	

#id=6
#text=Ich schicke dh.
6-1	Ich	PPER	ich	_	O	O	
6-2	schicke	VVFIN	schicken	_	O	O	
6-3	dh.	NE	<unknown>	_	O	O	

#id=7
#text=die Gesandtschaft sofort Dankbriefe an Raumer u. Jo Schulze, von Ihnen aber m5chte ich wissen, ob auch an den K5ni~ selber ein solcher zu richten sei, wes mjr nicht wahrscheinlich ist.
7-1	die	ART	die	_	O	O	
7-2	Gesandtschaft	NN	Gesandtschaft	_	O	O	
7-3	sofort	ADV	sofort	_	O	O	
7-4	Dankbriefe	NN	<unknown>	_	O	O	
7-5	an	APPR	an	_	O	O	
7-6	Raumer	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-7	u.	APPR	um	_	O	O	
7-8	Jo	NE	Jo	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-9	Schulze	NE	Schulze	_	I-webanno.custom.LetterEntity_	I-PERmentioned	
7-10	,	$,	,	_	O	O	
7-11	von	APPR	von	_	O	O	
7-12	Ihnen	PPER	Sie	_	O	O	
