# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=( 267 H Helbig an Henzen Neapel, 27. Juni 1864 g. 28/6 64 r. Neapel 27. Juni 1864 Geehrtester Herr Professor !
1-1	(	$(	(	_	O	O	
1-2	267	CARD	@card@	_	O	O	
1-3	H	NN	H	_	O	O	
1-4	Helbig	ADJD	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-5	an	APPR	an	_	O	O	
1-6	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-7	Neapel	NE	Neapel	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-8	,	$,	,	_	O	O	
1-9	27	CARD	27	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-10	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-11	Juni	NN	Juni	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-12	1864	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-13	g.	VVFIN	<unknown>	_	O	O	
1-14	28/6	CARD	@card@	_	B-webanno.custom.LetterEntity_	B-DATErecieved	
1-15	64	CARD	64	_	I-webanno.custom.LetterEntity_	I-DATErecieved	
1-16	r.	ADJA	<unknown>	_	O	O	
1-17	Neapel	NE	Neapel	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-18	27	CARD	27	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-19	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-20	Juni	NN	Juni	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-21	1864	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-22	Geehrtester	ADJA	<unknown>	_	O	O	
1-23	Herr	NN	Herr	_	O	O	
1-24	Professor	NN	Professor	_	O	O	
1-25	!	$.	!	_	O	O	

#id=2
#text=Herzlichen Dank für die Estratti meines und Ihres Aufsatzes, welche ich im Institutsinteresse verwenden werde.
2-1	Herzlichen	ADJA	herzlich	_	O	O	
2-2	Dank	NN	Dank	_	O	O	
