# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=33 H Lieber Herr Professor Helbig an Henzen Moskau, 5. August 1868 g. 20/8 68 r. Moskau li 5. August 1868 Ihr lieber Brief vom 17. Juli, in welchem Sie und Ihre Frau Gemahlin uns so ausführlichen Bericht über Ihr Leben in Rom abstatteten, wurde uns von Gut zu Gut nachgeschickt, traf aber immer nach unserer Abreise ein und gelangte so erst in Moskau in unsere Hände.
1-1	33	CARD	33	_	O	O	
1-2	H	NN	H	_	O	O	
1-3	Lieber	ADJA	lieb	_	O	O	
1-4	Herr	NN	Herr	_	O	O	
1-5	Professor	NN	Professor	_	O	O	
1-6	Helbig	ADJD	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-7	an	APPR	an	_	O	O	
1-8	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-9	Moskau	NE	Moskau	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-10	,	$,	,	_	O	O	
1-11	5	CARD	5	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-12	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-13	August	NN	August	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-14	1868	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-15	g.	VVFIN	<unknown>	_	O	O	
1-16	20/8	CARD	@card@	_	B-webanno.custom.LetterEntity_	B-DATErecieved	
1-17	68	CARD	68	_	I-webanno.custom.LetterEntity_	I-DATErecieved	
1-18	r.	ADJA	<unknown>	_	O	O	
1-19	Moskau	NE	Moskau	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-20	li	VVFIN	<unknown>	_	O	O	
1-21	5	CARD	5	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-22	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-23	August	NN	August	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-24	1868	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-25	Ihr	PPOSAT	ihr	_	O	O	
1-26	lieber	ADJA	lieb	_	O	O	
1-27	Brief	NN	Brief	_	O	O	
1-28	vom	APPRART	von	_	O	O	
1-29	17	CARD	17	_	B-webanno.custom.LetterEntity_	B-DATEmentioned	
1-30	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEmentioned	
1-31	Juli	NN	Juli	_	I-webanno.custom.LetterEntity_	I-DATEmentioned	
1-32	,	$,	,	_	O	O	
1-33	in	APPR	in	_	O	O	
1-34	welchem	PRELS	welche	_	O	O	
1-35	Sie	PPER	Sie	_	O	O	
1-36	und	KON	und	_	O	O	
1-37	Ihre	PPOSAT	ihr	_	O	O	
1-38	Frau	NN	Frau	_	O	O	
1-39	Gemahlin	NN	Gemahlin	_	O	O	
1-40	uns	PRF	wir	_	O	O	
1-41	so	ADV	so	_	O	O	
1-42	ausführlichen	ADJA	ausführlich	_	O	O	
1-43	Bericht	NN	Bericht	_	O	O	
1-44	über	APPR	über	_	O	O	
1-45	Ihr	PPOSAT	ihr	_	O	O	
1-46	Leben	NN	Leben	_	O	O	
1-47	in	APPR	in	_	O	O	
1-48	Rom	NE	Rom	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
1-49	abstatteten	VVFIN	abstatten	_	O	O	
1-50	,	$,	,	_	O	O	
1-51	wurde	VAFIN	werden	_	O	O	
1-52	uns	PPER	wir	_	O	O	
1-53	von	APPR	von	_	O	O	
1-54	Gut	NN	Gut	_	O	O	
1-55	zu	APPR	zu	_	O	O	
1-56	Gut	NN	Gut	_	O	O	
1-57	nachgeschickt	VVPP	nachschicken	_	O	O	
1-58	,	$,	,	_	O	O	
1-59	traf	VVFIN	treffen	_	O	O	
1-60	aber	ADV	aber	_	O	O	
1-61	immer	ADV	immer	_	O	O	
1-62	nach	APPR	nach	_	O	O	
1-63	unserer	PPOSAT	unser	_	O	O	
1-64	Abreise	NN	Abreise	_	O	O	
1-65	ein	PTKVZ	ein	_	O	O	
1-66	und	KON	und	_	O	O	
1-67	gelangte	VVFIN	gelangen	_	O	O	
1-68	so	ADV	so	_	O	O	
1-69	erst	ADV	erst	_	O	O	
1-70	in	APPR	in	_	O	O	
1-71	Moskau	NE	Moskau	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
1-72	in	APPR	in	_	O	O	
1-73	unsere	PPOSAT	unser	_	O	O	
1-74	Hände	NN	Hand	_	O	O	
1-75	.	$.	.	_	O	O	

#id=2
#text=Endlich sind wir auf der Rückreise begriffen und Seien Sie überzeugt, daß ich mein Möglichstes thun werde, dieselbe zu beschleunigen.
2-1	Endlich	ADV	endlich	_	O	O	
2-2	sind	VAFIN	sein	_	O	O	
2-3	wir	PPER	wir	_	O	O	
2-4	auf	APPR	auf	_	O	O	
2-5	der	ART	die	_	O	O	
2-6	Rückreise	NN	Rückreise	_	O	O	
2-7	begriffen	VVPP	begreifen	_	O	O	
2-8	und	KON	und	_	O	O	
2-9	Seien	NN	<unknown>	_	O	O	
2-10	Sie	PPER	Sie	_	O	O	
2-11	überzeugt	ADJD	überzeugt	_	O	O	
2-12	,	$,	,	_	O	O	
2-13	daß	KOUS	dass	_	O	O	
2-14	ich	PPER	ich	_	O	O	
2-15	mein	PPOSAT	mein	_	O	O	
2-16	Möglichstes	ADJA	möglich	_	O	O	
2-17	thun	NN	<unknown>	_	O	O	
2-18	werde	VAFIN	werden	_	O	O	
2-19	,	$,	,	_	O	O	
2-20	dieselbe	PDS	dieselbe	_	O	O	
2-21	zu	PTKZU	zu	_	O	O	
2-22	beschleunigen	VVINF	beschleunigen	_	O	O	
2-23	.	$.	.	_	O	O	

#id=3
#text=Morgen gehen wir nach Petersbung ab, wo wir 4 Tage zu bleiben gedenken, von hier nach Pskoff, wo wir ein Gut in Augenschein nehmen müssen, dann über Berlin und Dresden, wo ich um den 18. August einzutreffen hoffe.
3-1	Morgen	ADV	morgen	_	O	O	
3-2	gehen	VVFIN	gehen	_	O	O	
3-3	wir	PPER	wir	_	O	O	
3-4	nach	APPR	nach	_	O	O	
3-5	Petersbung	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
3-6	ab	PTKVZ	ab	_	O	O	
3-7	,	$,	,	_	O	O	
3-8	wo	PWAV	wo	_	O	O	
3-9	wir	PPER	wir	_	O	O	
3-10	4	CARD	4	_	O	O	
3-11	Tage	NN	Tag	_	O	O	
3-12	zu	PTKZU	zu	_	O	O	
3-13	bleiben	VVINF	bleiben	_	O	O	
3-14	gedenken	VVFIN	gedenken	_	O	O	
3-15	,	$,	,	_	O	O	
3-16	von	APPR	von	_	O	O	
3-17	hier	ADV	hier	_	O	O	
3-18	nach	APPR	nach	_	O	O	
3-19	Pskoff	NN	<unknown>	_	O	O	
3-20	,	$,	,	_	O	O	
3-21	wo	PWAV	wo	_	O	O	
3-22	wir	PPER	wir	_	O	O	
3-23	ein	ART	eine	_	O	O	
3-24	Gut	NN	Gut	_	O	O	
3-25	in	APPR	in	_	O	O	
3-26	Augenschein	NN	Augenschein	_	O	O	
3-27	nehmen	VVINF	nehmen	_	O	O	
3-28	müssen	VMFIN	müssen	_	O	O	
3-29	,	$,	,	_	O	O	
3-30	dann	ADV	dann	_	O	O	
3-31	über	APPR	über	_	O	O	
3-32	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
3-33	und	KON	und	_	O	O	
