# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=164 Lepsius an Henzen Berlin, 5. April 1874 g. 9/4 74 r. Berlin d. 5. April 1874 Verehrter Freund Meinen Brief vom 2. n d. mit der Abschrift des Etats werden Sie erhalten haben.
1-1	164	CARD	@card@	_	O	O	
1-2	Lepsius	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-3	an	APPR	an	_	O	O	
1-4	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
1-5	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-6	,	$,	,	_	O	O	
1-7	5	CARD	5	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-8	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-9	April	NN	April	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-10	1874	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-11	g.	VVFIN	<unknown>	_	O	O	
1-12	9/4	CARD	9/4	_	B-webanno.custom.LetterEntity_	B-DATErecieved	
1-13	74	CARD	74	_	I-webanno.custom.LetterEntity_	I-DATErecieved	
1-14	r.	ADJA	<unknown>	_	O	O	
1-15	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
1-16	d.	ART	d.	_	O	O	
1-17	5	CARD	5	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-18	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-19	April	NN	April	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-20	1874	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-21	Verehrter	ADJA	verehrt	_	O	O	
1-22	Freund	NN	Freund	_	O	O	
1-23	Meinen	PPOSAT	mein	_	O	O	
