# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=( I 674 Verehrtester Freund Lepsius an Renzen Be rl in , 25. Oktober 1877 g. 29/10 77 r.
1-1	(	$(	(	_	O	O	
1-2	I	FM	I	_	O	O	
1-3	674	CARD	@card@	_	O	O	
1-4	Verehrtester	NN	<unknown>	_	O	O	
1-5	Freund	NE	Freund	_	O	O	
1-6	Lepsius	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-7	an	APPR	an	_	O	O	
1-8	Renzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-9	Be	VVFIN	<unknown>	_	O	O	
1-10	rl	ADJD	<unknown>	_	O	O	
1-11	in	APPR	in	_	O	O	
1-12	,	$,	,	_	O	O	
1-13	25	CARD	25	_	B-webanno.custom.LetterEntity_	B-DATEletter	
1-14	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-15	Oktober	NN	Oktober	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-16	1877	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
1-17	g.	VVFIN	<unknown>	_	O	O	
1-18	29/10	CARD	@card@	_	B-webanno.custom.LetterEntity_	B-DATErecieved	
1-19	77	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATErecieved	
1-20	r.	ADJA	<unknown>	_	O	O	

#id=2
#text=5/11 77 Berlin, den 25. Okt.
2-1	5/11	CARD	@card@	_	O	O	
2-2	77	CARD	@card@	_	O	O	
2-3	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
2-4	,	$,	,	_	O	O	
2-5	den	ART	die	_	O	O	
2-6	25	CARD	25	_	B-webanno.custom.LetterEntity_	B-DATEletter	
2-7	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
2-8	Okt.	NN	Okt.	_	I-webanno.custom.LetterEntity_	I-DATEletter	

#id=3
#text=1877 Wiederum nur eine vorläufige Zeile.
3-1	1877	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
3-2	Wiederum	ADV	wiederum	_	O	O	
3-3	nur	ADV	nur	_	O	O	
3-4	eine	ART	eine	_	O	O	
3-5	vorläufige	ADJA	vorläufig	_	O	O	
3-6	Zeile	NN	Zeile	_	O	O	
3-7	.	$.	.	_	O	O	

#id=4
#text=Auch Ihr letzter Brief ist eingegangen und eine Anfrage von Dahn.
4-1	Auch	ADV	auch	_	O	O	
4-2	Ihr	PPOSAT	ihr	_	O	O	
4-3	letzter	ADJA	letzt	_	O	O	
4-4	Brief	NN	Brief	_	O	O	
4-5	ist	VAFIN	sein	_	O	O	
4-6	eingegangen	VVPP	eingehen	_	O	O	
4-7	und	KON	und	_	O	O	
4-8	eine	ART	eine	_	O	O	
4-9	Anfrage	NN	Anfrage	_	O	O	
4-10	von	APPR	von	_	O	O	
4-11	Dahn	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
4-12	.	$.	.	_	O	O	

#id=5
#text=Beides wird in der nächsten Sitzung vorgelegt werden.
5-1	Beides	PIS	beide	_	O	O	
5-2	wird	VAFIN	werden	_	O	O	
5-3	in	APPR	in	_	O	O	
5-4	der	ART	die	_	O	O	
5-5	nächsten	ADJA	nah	_	O	O	
5-6	Sitzung	NN	Sitzung	_	O	O	
