# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=- ~ 1 · .
1-1	-	$(	-	_	O	O	
1-2	~	XY	~	_	O	O	
1-3	1	CARD	1	_	O	O	
1-4	·	NN	<unknown>	_	O	O	
1-5	.	$.	.	_	O	O	

#id=2
#text=.
2-1	.	$.	.	_	O	O	

#id=3
#text=.
3-1	.	$.	.	_	O	O	

#id=4
#text=.
4-1	.	$.	.	_	O	O	

#id=5
#text=.
5-1	.	$.	.	_	O	O	

#id=6
#text=.
6-1	.	$.	.	_	O	O	

#id=7
#text=.
7-1	.	$.	.	_	O	O	

#id=8
#text=.
8-1	.	$.	.	_	O	O	

#id=9
#text=A. di Direz.
9-1	A.	APPRART	am	_	O	O	
9-2	di	NE	di	_	O	O	
9-3	Direz	NN	<unknown>	_	O	O	
9-4	.	$.	.	_	O	O	

#id=10
#text=••••••• Henzen Lieber Freund.
10-1	•	ADJA	<unknown>	_	O	O	
10-2	•	NN	<unknown>	_	O	O	
10-3	•	ADJA	<unknown>	_	O	O	
10-4	•	NN	<unknown>	_	O	O	
10-5	•	ADJA	<unknown>	_	O	O	
10-6	•	NN	<unknown>	_	O	O	
10-7	•	ADJA	<unknown>	_	O	O	
10-8	Henzen	NN	<unknown>	_	O	O	
10-9	Lieber	ADJA	lieb	_	O	O	
10-10	Freund	NN	Freund	_	O	O	
10-11	.	$.	.	_	O	O	

#id=11
#text=Gerhard an Henzen Berlin, 6. Juli 1846 g. 16/VII 46 r. 20/VII 46 Berlin 6 Juli 46 In Erwartung römischer Briefe die lange zögerten blieb der anhangende Brief etwas liegen was Sie bei Ihrer lieben Frau entschuldigen mögen.
11-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
11-2	an	APPR	an	_	O	O	
11-3	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERaddressee	
11-4	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
11-5	,	$,	,	_	O	O	
11-6	6	CARD	6	_	B-webanno.custom.LetterEntity_	B-DATEletter	
11-7	.	$.	.	_	I-webanno.custom.LetterEntity_	I-DATEletter	
11-8	Juli	NN	Juli	_	I-webanno.custom.LetterEntity_	I-DATEletter	
11-9	1846	CARD	@card@	_	I-webanno.custom.LetterEntity_	I-DATEletter	
11-10	g.	VVFIN	<unknown>	_	O	O	
