# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=A. di Direz.
1-1	A.	APPRART	am	_	O	O	
1-2	di	NE	di	_	O	O	
1-3	Direz	NN	<unknown>	_	O	O	
1-4	.	$.	.	_	O	O	

#id=2
#text=Gerhard an Henzen Berlin 6/II/1847 g. 18/II 47 r.
2-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
2-2	an	APPR	an	_	O	O	
2-3	Henzen	NN	<unknown>	_	O	O	
2-4	Berlin	NE	Berlin	_	O	O	
2-5	6/II/1847	CARD	<unknown>	_	O	O	
2-6	g.	ADJA	<unknown>	_	O	O	
2-7	18/II	NE	<unknown>	_	O	O	
2-8	47	CARD	47	_	O	O	
2-9	r.	ADJA	<unknown>	_	O	O	

#id=3
#text=20/II 47 Berlin 6 Febr.
3-1	20/II	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-DATEanswered	
3-2	47	CARD	47	_	I-webanno.custom.LetterEntity_	I-DATEanswered	
3-3	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
3-4	6	CARD	6	_	B-webanno.custom.LetterEntity_	B-DATEletter	
3-5	Febr.	NN	Febr.	_	I-webanno.custom.LetterEntity_	I-DATEletter	

#id=4
#text=47 • ••••••••••••••• für Ihre Mittheilungen über den Stand des Pariser Inschriftunternehmens; ich werde ••••••••••••••• Discretion und bester Einsicht davon Gebrauch machen • ••••••••••• s epigr. Aufsatz ist gesetzt und wird noch vor ~ der bevorstehenden Sitzung der epigraphischen Commission •••••••••• ell sein; ich habe in Drucksorte und Correc- ~ tur ihn möglichst correct und eindrücklich !o!td:s zu , ••••• • • • • en gesucht, obwohl Parthey den Sitzung .. etwäs, ängst~ lich ökonomisch und darum eben nicht elegent •••••• gerichtet hat.
4-1	47	CARD	47	_	O	O	
4-2	•	NN	<unknown>	_	O	O	
4-3	•	ADJA	<unknown>	_	O	O	
4-4	•	NN	<unknown>	_	O	O	
4-5	•	ADJA	<unknown>	_	O	O	
4-6	•	NN	<unknown>	_	O	O	
4-7	•	ADJA	<unknown>	_	O	O	
4-8	•	NN	<unknown>	_	O	O	
4-9	•	ADJA	<unknown>	_	O	O	
4-10	•	NN	<unknown>	_	O	O	
4-11	•	ADJA	<unknown>	_	O	O	
4-12	•	NN	<unknown>	_	O	O	
4-13	•	ADJA	<unknown>	_	O	O	
4-14	•	NN	<unknown>	_	O	O	
4-15	•	ADJD	<unknown>	_	O	O	
4-16	•	ADJA	<unknown>	_	O	O	
4-17	•	NN	<unknown>	_	O	O	
4-18	für	APPR	für	_	O	O	
4-19	Ihre	PPOSAT	ihr	_	O	O	
4-20	Mittheilungen	NN	<unknown>	_	O	O	
4-21	über	APPR	über	_	O	O	
4-22	den	ART	die	_	O	O	
4-23	Stand	NN	Stand	_	O	O	
4-24	des	ART	die	_	O	O	
4-25	Pariser	NN	Pariser	_	O	O	
4-26	Inschriftunternehmens	NN	<unknown>	_	O	O	
4-27	;	$.	;	_	O	O	
4-28	ich	PPER	ich	_	O	O	
4-29	werde	VAFIN	werden	_	O	O	
4-30	•	ADJD	<unknown>	_	O	O	
4-31	•	ADJA	<unknown>	_	O	O	
4-32	•	NN	<unknown>	_	O	O	
4-33	•	ADJA	<unknown>	_	O	O	
4-34	•	NN	<unknown>	_	O	O	
4-35	•	ADJA	<unknown>	_	O	O	
4-36	•	NN	<unknown>	_	O	O	
4-37	•	ADJA	<unknown>	_	O	O	
4-38	•	NN	<unknown>	_	O	O	
4-39	•	ADJA	<unknown>	_	O	O	
4-40	•	NN	<unknown>	_	O	O	
4-41	•	ADJA	<unknown>	_	O	O	
4-42	•	NN	<unknown>	_	O	O	
4-43	•	ADJD	<unknown>	_	O	O	
4-44	•	ADJA	<unknown>	_	O	O	
4-45	Discretion	NN	<unknown>	_	O	O	
4-46	und	KON	und	_	O	O	
4-47	bester	ADJA	gut	_	O	O	
4-48	Einsicht	NN	Einsicht	_	O	O	
4-49	davon	PAV	davon	_	O	O	
4-50	Gebrauch	NN	Gebrauch	_	O	O	
4-51	machen	VVFIN	machen	_	O	O	
4-52	•	ADJD	<unknown>	_	O	O	
4-53	•	ADJA	<unknown>	_	O	O	
4-54	•	NN	<unknown>	_	O	O	
4-55	•	ADJA	<unknown>	_	O	O	
4-56	•	NN	<unknown>	_	O	O	
4-57	•	ADJA	<unknown>	_	O	O	
4-58	•	NN	<unknown>	_	O	O	
4-59	•	ADJA	<unknown>	_	O	O	
4-60	•	NN	<unknown>	_	O	O	
4-61	•	ADJA	<unknown>	_	O	O	
4-62	•	NN	<unknown>	_	O	O	
4-63	•	ADJA	<unknown>	_	O	O	
4-64	s	NN	s	_	O	O	
4-65	epigr	NE	<unknown>	_	O	O	
4-66	.	$.	.	_	O	O	
4-67	Aufsatz	NN	Aufsatz	_	O	O	
4-68	ist	VAFIN	sein	_	O	O	
4-69	gesetzt	VVPP	setzen	_	O	O	
4-70	und	KON	und	_	O	O	
4-71	wird	VAFIN	werden	_	O	O	
4-72	noch	ADV	noch	_	O	O	
4-73	vor	PTKVZ	vor	_	O	O	
4-74	~	XY	~	_	O	O	
4-75	der	ART	die	_	O	O	
4-76	bevorstehenden	ADJA	bevorstehend	_	O	O	
4-77	Sitzung	NN	Sitzung	_	O	O	
4-78	der	ART	die	_	O	O	
4-79	epigraphischen	ADJA	<unknown>	_	O	O	
4-80	Commission	NN	<unknown>	_	O	O	
4-81	•	ADJA	<unknown>	_	O	O	
4-82	•	NN	<unknown>	_	O	O	
4-83	•	ADJA	<unknown>	_	O	O	
4-84	•	NN	<unknown>	_	O	O	
4-85	•	ADJA	<unknown>	_	O	O	
4-86	•	NN	<unknown>	_	O	O	
4-87	•	ADJA	<unknown>	_	O	O	
4-88	•	NN	<unknown>	_	O	O	
4-89	•	ADJA	<unknown>	_	O	O	
4-90	•	NN	<unknown>	_	O	O	
4-91	ell	VVPP	<unknown>	_	O	O	
4-92	sein	VAINF	sein	_	O	O	
4-93	;	$.	;	_	O	O	
4-94	ich	PPER	ich	_	O	O	
4-95	habe	VAFIN	haben	_	O	O	
4-96	in	APPR	in	_	O	O	
4-97	Drucksorte	NN	<unknown>	_	O	O	
4-98	und	KON	und	_	O	O	
4-99	Correc-	TRUNC	<unknown>	_	O	O	
4-100	~	XY	~	_	O	O	
4-101	tur	VVFIN	<unknown>	_	O	O	
4-102	ihn	PPER	er	_	O	O	
4-103	möglichst	ADV	möglichst	_	O	O	
4-104	correct	NN	<unknown>	_	O	O	
4-105	und	KON	und	_	O	O	
4-106	eindrücklich	ADJD	<unknown>	_	O	O	
4-107	!	$.	!	_	O	O	
4-108	o	VVFIN	<unknown>	_	O	O	
4-109	!	$.	!	_	O	O	
4-110	td:s	ADJD	<unknown>	_	O	O	
4-111	zu	PTKVZ	zu	_	O	O	
4-112	,	$,	,	_	O	O	
4-113	•	ADJD	<unknown>	_	O	O	
4-114	•	ADJA	<unknown>	_	O	O	
4-115	•	NN	<unknown>	_	O	O	
4-116	•	ADJA	<unknown>	_	O	O	
4-117	•	NN	<unknown>	_	O	O	
4-118	•	ADJA	<unknown>	_	O	O	
4-119	•	NN	<unknown>	_	O	O	
