# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Gerhard an Henzen Berlin 6/111/1847 A. di lJir. g. r.
1-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-2	an	APPR	an	_	O	O	
1-3	Henzen	NN	<unknown>	_	O	O	
1-4	Berlin	NE	Berlin	_	O	O	
1-5	6/111/1847	CARD	@card@	_	O	O	
1-6	A.	APPRART	am	_	O	O	
1-7	di	NE	di	_	O	O	
1-8	lJir	NN	<unknown>	_	O	O	
1-9	.	$.	.	_	O	O	
1-10	g.	ADJA	<unknown>	_	O	O	
1-11	r.	ADJA	<unknown>	_	O	O	

#id=2
#text=1?/IV 47 Berlin 6 März 47 •••••••••• Brief I fr.
2-1	1	CARD	1	_	O	O	
2-2	?	$.	?	_	O	O	
2-3	/IV	ADJA	<unknown>	_	O	O	
2-4	47	CARD	47	_	O	O	
2-5	Berlin	NE	Berlin	_	B-webanno.custom.LetterEntity_	B-PLACEfrom	
2-6	6	CARD	6	_	B-webanno.custom.LetterEntity_	B-DATEletter	
2-7	März	NN	März	_	I-webanno.custom.LetterEntity_	I-DATEletter	
2-8	47	CARD	47	_	I-webanno.custom.LetterEntity_	I-DATEletter	
2-9	•	ADJA	<unknown>	_	O	O	
2-10	•	NN	<unknown>	_	O	O	
2-11	•	ADJA	<unknown>	_	O	O	
2-12	•	NN	<unknown>	_	O	O	
2-13	•	ADJA	<unknown>	_	O	O	
2-14	•	NN	<unknown>	_	O	O	
2-15	•	ADJA	<unknown>	_	O	O	
2-16	•	NN	<unknown>	_	O	O	
2-17	•	ADJD	<unknown>	_	O	O	
2-18	•	ADJA	<unknown>	_	O	O	
2-19	Brief	NN	Brief	_	O	O	
2-20	I	FM	I	_	O	O	
2-21	fr.	NE	<unknown>	_	O	O	

#id=3
#text=ist Vollards Vorläufer der nächstentags abreist ••••••••••• und dem Institut unter Ihrer und BraumAdresse mitbringen wird: 1) ~o'JZA'~ -H-y if;JUh~ -I-ll-iYVt-~ 2) i I'Y\; Archäol.
3-1	ist	VAFIN	sein	_	O	O	
3-2	Vollards	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
3-3	Vorläufer	NN	Vorläufer	_	O	O	
3-4	der	ART	die	_	O	O	
3-5	nächstentags	NN	<unknown>	_	O	O	
3-6	abreist	VVFIN	abreisen	_	O	O	
3-7	•	ADJD	<unknown>	_	O	O	
3-8	•	ADJA	<unknown>	_	O	O	
3-9	•	NN	<unknown>	_	O	O	
3-10	•	ADJA	<unknown>	_	O	O	
3-11	•	NN	<unknown>	_	O	O	
3-12	•	ADJA	<unknown>	_	O	O	
3-13	•	NN	<unknown>	_	O	O	
3-14	•	ADJA	<unknown>	_	O	O	
3-15	•	NN	<unknown>	_	O	O	
3-16	•	ADJA	<unknown>	_	O	O	
3-17	•	NN	<unknown>	_	O	O	
3-18	und	KON	und	_	O	O	
3-19	dem	ART	die	_	O	O	
3-20	Institut	NN	Institut	_	B-webanno.custom.LetterEntity_	B-ORGmentioned	
3-21	unter	APPR	unter	_	O	O	
3-22	Ihrer	PPOSAT	ihr	_	O	O	
3-23	und	KON	und	_	O	O	
3-24	BraumAdresse	NN	<unknown>	_	O	O	
3-25	mitbringen	VVINF	mitbringen	_	O	O	
3-26	wird	VAFIN	werden	_	O	O	
3-27	:	$.	:	_	O	O	
3-28	1	CARD	1	_	O	O	
3-29	)	$(	)	_	O	O	
3-30	~o'JZA'~	NN	<unknown>	_	O	O	
3-31	-H-y	NE	<unknown>	_	O	O	
3-32	if	NE	if	_	O	O	
3-33	;	$.	;	_	O	O	
3-34	JUh~	NN	<unknown>	_	O	O	
3-35	-I-ll-iYVt-~	NN	<unknown>	_	O	O	
3-36	2	CARD	2	_	O	O	
3-37	)	$(	)	_	O	O	
3-38	i	FM	i	_	O	O	
3-39	I'Y\	NE	<unknown>	_	O	O	
3-40	;	$.	;	_	O	O	
3-41	Archäol.	NE	<unknown>	_	O	O	

#id=4
#text=Ztg.
4-1	Ztg.	NN	Ztg.	_	O	O	

#id=5
#text=Heft 14 Qnrl den noch fehlenden 2 Exemplaren Heft 16 desgleichen.
5-1	Heft	NN	Heft	_	O	O	
5-2	14	CARD	14	_	O	O	
5-3	Qnrl	NN	<unknown>	_	O	O	
5-4	den	ART	die	_	O	O	
5-5	noch	ADV	noch	_	O	O	
5-6	fehlenden	ADJA	fehlend	_	O	O	
5-7	2	CARD	2	_	O	O	
5-8	Exemplaren	NN	Exemplar	_	O	O	
5-9	Heft	NN	Heft	_	O	O	
5-10	16	CARD	16	_	O	O	
5-11	desgleichen	ADV	desgleichen	_	O	O	
5-12	.	$.	.	_	O	O	

#id=6
#text=Dabei Neigebaurs letzter Brief an ~ie 3) geht hoffentlich auch noch das Exemplar Arch.
6-1	Dabei	PAV	dabei	_	O	O	
6-2	Neigebaurs	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
6-3	letzter	ADJA	letzt	_	O	O	
6-4	Brief	NN	Brief	_	O	O	
6-5	an	APPR	an	_	O	O	
6-6	~ie	NN	<unknown>	_	O	O	
6-7	3	CARD	3	_	O	O	
6-8	)	$(	)	_	O	O	
6-9	geht	VVFIN	gehen	_	O	O	
6-10	hoffentlich	ADV	hoffentlich	_	O	O	
6-11	auch	ADV	auch	_	O	O	
6-12	noch	ADV	noch	_	O	O	
6-13	das	ART	die	_	O	O	
6-14	Exemplar	NN	Exemplar	_	O	O	
6-15	Arch	VVFIN	<unknown>	_	O	O	
6-16	.	$.	.	_	O	O	

#id=7
#text=Ztg III.
7-1	Ztg	NE	<unknown>	_	O	O	
7-2	III.	NN	<unknown>	_	O	O	

#id=8
#text=IV für Cavedoni mit das Sie ihm als Fortsetzung der früheren gefälligst zusenden mögen gegen 4 Scudi Beitrag.
8-1	IV	NE	IV	_	O	O	
8-2	für	APPR	für	_	O	O	
8-3	Cavedoni	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
8-4	mit	APPR	mit	_	O	O	
8-5	das	ART	die	_	O	O	
8-6	Sie	PPER	Sie	_	O	O	
8-7	ihm	PPER	er	_	O	O	
8-8	als	KOKOM	als	_	O	O	
8-9	Fortsetzung	NN	Fortsetzung	_	O	O	
8-10	der	ART	die	_	O	O	
8-11	früheren	ADJA	früh	_	O	O	
8-12	gefälligst	ADJD	gefälligst	_	O	O	
8-13	zusenden	VVINF	zusenden	_	O	O	
8-14	mögen	VMFIN	mögen	_	O	O	
8-15	gegen	APPR	gegen	_	O	O	
8-16	4	CARD	4	_	O	O	
8-17	Scudi	NN	<unknown>	_	O	O	
8-18	Beitrag	NN	Beitrag	_	O	O	
8-19	.	$.	.	_	O	O	

#id=9
#text=Das Register ist noch immer nicht versendbar; es wird nur 2 Bogen stark nächstens nachgeliefert.
9-1	Das	ART	die	_	O	O	
