# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Gerhard an Renzen 17/III/1847 2 den die ihn so sehr obligirt haben.
1-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-2	an	APPR	an	_	O	O	
1-3	Renzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-4	17/III/1847	CARD	<unknown>	_	O	O	
1-5	2	CARD	2	_	O	O	
1-6	den	ART	die	_	O	O	
1-7	die	PRELS	die	_	O	O	
1-8	ihn	PPER	er	_	O	O	
1-9	so	ADV	so	_	O	O	
1-10	sehr	ADV	sehr	_	O	O	
1-11	obligirt	ADJD	<unknown>	_	O	O	
1-12	haben	VAFIN	haben	_	O	O	
1-13	.	$.	.	_	O	O	

#id=2
#text=Jahn geht nun nach Leipzig; hoffentlich schaffen wir ler an seine Stelle.
2-1	Jahn	NE	Jahn	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
2-2	geht	VVFIN	gehen	_	O	O	
2-3	nun	ADV	nun	_	O	O	
2-4	nach	APPR	nach	_	O	O	
2-5	Leipzig	NE	Leipzig	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
2-6	;	$.	;	_	O	O	
2-7	hoffentlich	ADV	hoffentlich	_	O	O	
2-8	schaffen	VVFIN	schaffen	_	O	O	
2-9	wir	PPER	wir	_	O	O	
2-10	ler	ADJD	<unknown>	_	O	O	
2-11	an	APPR	an	_	O	O	
2-12	seine	PPOSAT	sein	_	O	O	
2-13	Stelle	NN	Stelle	_	O	O	
2-14	.	$.	.	_	O	O	

#id=3
#text=Ist jemand bei der epigr. Sache gekränkt so ist -._--- ~~&+- nur er es, von dem sie 8ioh angemaßt war; aber sie ward als eine nurfür hier ansässige Personen anwendbare betrachtet.
3-1	Ist	VAFIN	sein	_	O	O	
3-2	jemand	PIS	jemand	_	O	O	
3-3	bei	APPR	bei	_	O	O	
3-4	der	ART	die	_	O	O	
3-5	epigr	NE	<unknown>	_	O	O	
3-6	.	$.	.	_	O	O	
3-7	Sache	NN	Sache	_	O	O	
3-8	gekränkt	VVPP	kränken	_	O	O	
3-9	so	ADV	so	_	O	O	
3-10	ist	VAFIN	sein	_	O	O	
3-11	-._-	ADJD	<unknown>	_	O	O	
3-12	--	$(	--	_	O	O	
3-13	~~&+-	NN	<unknown>	_	O	O	
3-14	nur	ADV	nur	_	O	O	
3-15	er	PPER	er	_	O	O	
3-16	es	PPER	es	_	O	O	
3-17	,	$,	,	_	O	O	
3-18	von	APPR	von	_	O	O	
3-19	dem	PRELS	die	_	O	O	
3-20	sie	PPER	sie	_	O	O	
3-21	8ioh	ADJD	<unknown>	_	O	O	
3-22	angemaßt	VVPP	anmaßen	_	O	O	
3-23	war	VAFIN	sein	_	O	O	
3-24	;	$.	;	_	O	O	
3-25	aber	KON	aber	_	O	O	
3-26	sie	PPER	sie	_	O	O	
3-27	ward	VVFIN	werd	_	O	O	
3-28	als	KOKOM	als	_	O	O	
3-29	eine	ART	eine	_	O	O	
3-30	nurfür	NN	<unknown>	_	O	O	
3-31	hier	ADV	hier	_	O	O	
3-32	ansässige	ADJA	ansässig	_	O	O	
3-33	Personen	NN	Person	_	O	O	
3-34	anwendbare	ADJA	anwendbar	_	O	O	
3-35	betrachtet	VVPP	betrachten	_	O	O	
3-36	.	$.	.	_	O	O	

#id=4
#text=Lesen Sie aber übe~ die ganze ~ngelegenheit meinen zugleich auch für Sie geschriebnen Brief an Mommsen.
4-1	Lesen	VVFIN	lesen	_	O	O	
4-2	Sie	PPER	Sie	_	O	O	
4-3	aber	ADV	aber	_	O	O	
4-4	übe~	VVFIN	<unknown>	_	O	O	
4-5	die	ART	die	_	O	O	
4-6	ganze	ADJA	ganz	_	O	O	
4-7	~ngelegenheit	NN	<unknown>	_	O	O	
4-8	meinen	VVFIN	meinen	_	O	O	
4-9	zugleich	ADV	zugleich	_	O	O	
4-10	auch	ADV	auch	_	O	O	
4-11	für	APPR	für	_	O	O	
4-12	Sie	PPER	Sie	_	O	O	
4-13	geschriebnen	ADJA	<unknown>	_	O	O	
4-14	Brief	NN	Brief	_	O	O	
4-15	an	APPR	an	_	O	O	
4-16	Mommsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
4-17	.	$.	.	_	O	O	

#id=5
#text=Vom diesj.
5-1	Vom	APPRART	von	_	O	O	
5-2	diesj.	ADJA	<unknown>	_	O	O	

#id=6
#text=Bull noch nichts.
6-1	Bull	NE	Bull	_	O	O	
6-2	noch	ADV	noch	_	O	O	
6-3	nichts	PIS	nichts	_	O	O	
6-4	.	$.	.	_	O	O	

#id=7
#text=Die ~Ll,k) ~, sind notirt.
7-1	Die	ART	die	_	O	O	
7-2	~Ll,k	NN	<unknown>	_	O	O	
7-3	)	$(	)	_	O	O	
7-4	~	XY	~	_	O	O	
7-5	,	$,	,	_	O	O	
7-6	sind	VAFIN	sein	_	O	O	
7-7	notirt	NN	<unknown>	_	O	O	
7-8	.	$.	.	_	O	O	

#id=8
#text=Nord- ~ amerika als paese ist etwas weits1chtig, hat ur.
8-1	Nord-	TRUNC	Nord-	_	O	O	
8-2	~	XY	~	_	O	O	
8-3	amerika	VVFIN	<unknown>	_	O	O	
8-4	als	KOKOM	als	_	O	O	
8-5	paese	NN	<unknown>	_	O	O	
8-6	ist	VAFIN	sein	_	O	O	
8-7	etwas	ADV	etwas	_	O	O	
8-8	weits1chtig	ADJD	<unknown>	_	O	O	
8-9	,	$,	,	_	O	O	
8-10	hat	VAFIN	haben	_	O	O	
8-11	ur	ADJD	<unknown>	_	O	O	
8-12	.	$.	.	_	O	O	

#id=9
#text=Morton kein eigenes Haus?
9-1	Morton	NE	Morton	_	O	O	
9-2	kein	PIAT	keine	_	O	O	
9-3	eigenes	ADJA	eigen	_	O	O	
9-4	Haus	NN	Haus	_	O	O	
9-5	?	$.	?	_	O	O	

#id=10
#text=Uebersehen Sie Mu"har' s G~.
10-1	Uebersehen	VVFIN	<unknown>	_	O	O	
10-2	Sie	PPER	Sie	_	O	O	
10-3	Mu"har	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
10-4	'	$(	'	_	O	O	
10-5	s	NN	s	_	O	O	
10-6	G~	NE	<unknown>	_	O	O	
10-7	.	$.	.	_	O	O	

#id=11
#text==Steyermark nicht.
11-1	=Steyermark	NN	<unknown>	_	O	O	
11-2	nicht	PTKNEG	nicht	_	O	O	
11-3	.	$.	.	_	O	O	

#id=12
#text=Morgen reist Panofka, ich gebe ihm den eben .. Qm~'o-vv angelangten Abdruck Ihrer e.r.
12-1	Morgen	ADV	morgen	_	O	O	
12-2	reist	VVFIN	reisen	_	O	O	
12-3	Panofka	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
12-4	,	$,	,	_	O	O	
12-5	ich	PPER	ich	_	O	O	
12-6	gebe	VVFIN	geben	_	O	O	
12-7	ihm	PPER	er	_	O	O	
12-8	den	PDS	die	_	O	O	
12-9	eben	ADV	eben	_	O	O	
12-10	.	$.	.	_	O	O	
12-11	.	$.	.	_	O	O	
12-12	Qm~'o-vv	NE	<unknown>	_	O	O	
12-13	angelangten	VVFIN	angelangen	_	O	O	
12-14	Abdruck	NN	Abdruck	_	O	O	
12-15	Ihrer	PPOSAT	ihr	_	O	O	
12-16	e.r.	ADJA	<unknown>	_	O	O	

#id=13
#text=des Zumpt mit, über die ich noch nicht sprechen hörte; sonst konnte ich ihm nur mit 1 Exemplar des ( noch nicht zu bindenden ) Schlußhefts der Arch.
13-1	des	ART	die	_	O	O	
13-2	Zumpt	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
13-3	mit	PTKVZ	mit	_	O	O	
13-4	,	$,	,	_	O	O	
13-5	über	APPR	über	_	O	O	
13-6	die	PRELS	die	_	O	O	
13-7	ich	PPER	ich	_	O	O	
13-8	noch	ADV	noch	_	O	O	
13-9	nicht	PTKNEG	nicht	_	O	O	
13-10	sprechen	VVINF	sprechen	_	O	O	
13-11	hörte	VVFIN	hören	_	O	O	
13-12	;	$.	;	_	O	O	
13-13	sonst	ADV	sonst	_	O	O	
13-14	konnte	VMFIN	können	_	O	O	
13-15	ich	PPER	ich	_	O	O	
13-16	ihm	PPER	er	_	O	O	
13-17	nur	ADV	nur	_	O	O	
13-18	mit	APPR	mit	_	O	O	
13-19	1	CARD	1	_	O	O	
13-20	Exemplar	NN	Exemplar	_	O	O	
13-21	des	ART	die	_	O	O	
13-22	(	$(	(	_	O	O	
13-23	noch	ADV	noch	_	O	O	
13-24	nicht	PTKNEG	nicht	_	O	O	
13-25	zu	APPR	zu	_	O	O	
