# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Gerhard an Henzen 26/V/1847 2 für Abnutzung des Permess~so spanne~ie an wen Sie wollen _I die Kostendeckung garantire ich, zumal wenn ~.Brunn es wünschen sollte.
1-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
1-2	an	APPR	an	_	O	O	
1-3	Henzen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-4	26/V/1847	CARD	<unknown>	_	O	O	
1-5	2	CARD	2	_	O	O	
1-6	für	APPR	für	_	O	O	
1-7	Abnutzung	NN	Abnutzung	_	O	O	
1-8	des	ART	die	_	O	O	
1-9	Permess~so	NN	<unknown>	_	O	O	
1-10	spanne~ie	VVFIN	<unknown>	_	O	O	
1-11	an	PTKVZ	an	_	O	O	
1-12	wen	PWS	wer	_	O	O	
1-13	Sie	PPER	Sie	_	O	O	
1-14	wollen	VMFIN	wollen	_	O	O	
1-15	_I	NN	<unknown>	_	O	O	
1-16	die	ART	die	_	O	O	
1-17	Kostendeckung	NN	Kostendeckung	_	O	O	
1-18	garantire	VVFIN	<unknown>	_	O	O	
1-19	ich	PPER	ich	_	O	O	
1-20	,	$,	,	_	O	O	
1-21	zumal	KOUS	zumal	_	O	O	
1-22	wenn	KOUS	wenn	_	O	O	
1-23	~.Brunn	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
1-24	es	PPER	es	_	O	O	
1-25	wünschen	VVINF	wünschen	_	O	O	
1-26	sollte	VMFIN	sollen	_	O	O	
1-27	.	$.	.	_	O	O	

#id=2
#text=Grüßen Sie diesen bestens; ich hoffe auf den Abschluß seiner Adunanzextrakte.
2-1	Grüßen	VVFIN	grüßen	_	O	O	
2-2	Sie	PPER	Sie	_	O	O	
2-3	diesen	PDAT	dies	_	O	O	
2-4	bestens	ADV	bestens	_	O	O	
2-5	;	$.	;	_	O	O	
2-6	ich	PPER	ich	_	O	O	
2-7	hoffe	VVFIN	hoffen	_	O	O	
2-8	auf	APPR	auf	_	O	O	
2-9	den	ART	die	_	O	O	
2-10	Abschluß	NN	Abschluss	_	O	O	
2-11	seiner	PPOSAT	sein	_	O	O	
2-12	Adunanzextrakte	NN	<unknown>	_	O	O	
2-13	.	$.	.	_	O	O	

#id=3
#text=Niebuhr's scheinen also gleich nach Neapel gezogen zu sein, von wo aUS Sie den von meiner Frau ihnen mitgegebnen Brief wol leicht können einfordern lassen.
3-1	Niebuhr's	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
3-2	scheinen	VVFIN	scheinen	_	O	O	
3-3	also	ADV	also	_	O	O	
3-4	gleich	ADJD	gleich	_	O	O	
3-5	nach	APPR	nach	_	O	O	
3-6	Neapel	NE	Neapel	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
3-7	gezogen	VVPP	ziehen	_	O	O	
3-8	zu	PTKZU	zu	_	O	O	
3-9	sein	VAINF	sein	_	O	O	
3-10	,	$,	,	_	O	O	
3-11	von	APPR	von	_	O	O	
3-12	wo	PWAV	wo	_	O	O	
3-13	aUS	VVFIN	<unknown>	_	O	O	
3-14	Sie	PPER	Sie	_	O	O	
3-15	den	ART	die	_	O	O	
3-16	von	APPR	von	_	O	O	
3-17	meiner	PPOSAT	mein	_	O	O	
3-18	Frau	NN	Frau	_	O	O	
3-19	ihnen	PPER	sie	_	O	O	
3-20	mitgegebnen	ADJA	<unknown>	_	O	O	
3-21	Brief	NN	Brief	_	O	O	
3-22	wol	ADJD	<unknown>	_	O	O	
3-23	leicht	ADJD	leicht	_	O	O	
3-24	können	VMFIN	können	_	O	O	
3-25	einfordern	VVINF	einfordern	_	O	O	
3-26	lassen	VVINF	lassen	_	O	O	
3-27	.	$.	.	_	O	O	

#id=4
#text=Wasserkur in den Ueb~gen?
4-1	Wasserkur	NN	<unknown>	_	O	O	
4-2	in	APPR	in	_	O	O	
4-3	den	ART	die	_	O	O	
4-4	Ueb~gen	NN	<unknown>	_	O	O	
4-5	?	$.	?	_	O	O	

#id=5
#text=Sie werden wol der I fertigen Einrichtung nachgehen müssen.
5-1	Sie	PPER	Sie	_	O	O	
5-2	werden	VAFIN	werden	_	O	O	
5-3	wol	ADJD	<unknown>	_	O	O	
5-4	der	ART	die	_	O	O	
5-5	I	NN	I	_	O	O	
5-6	fertigen	ADJA	fertig	_	O	O	
5-7	Einrichtung	NN	Einrichtung	_	O	O	
5-8	nachgehen	VVINF	nachgehen	_	O	O	
5-9	müssen	VMINF	müssen	_	O	O	
5-10	.	$.	.	_	O	O	

#id=6
#text=Patienza.
6-1	Patienza	NE	<unknown>	_	O	O	
6-2	.	$.	.	_	O	O	

#id=7
#text=Ich hätte Ihnen Rimini und Borghesi's Nähe gegönnt.
7-1	Ich	PPER	ich	_	O	O	
7-2	hätte	VAFIN	haben	_	O	O	
7-3	Ihnen	PPER	Sie	_	O	O	
7-4	Rimini	NE	Rimini	_	O	O	
7-5	und	KON	und	_	O	O	
7-6	Borghesi's	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-7	Nähe	NN	Nähe	_	O	O	
7-8	gegönnt	VVPP	gönnen	_	O	O	
7-9	.	$.	.	_	O	O	

#id=8
#text=Dem Diego Vitrioli Academico EhXolanese, über den Sie Zeugniß eingeholt, bin ich Dank schuldig für seine in Holland pronuncirtes ichthyologisches Gedicht.
8-1	Dem	ART	die	_	O	O	
8-2	Diego	NE	Diego	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
8-3	Vitrioli	NE	<unknown>	_	I-webanno.custom.LetterEntity_	I-PERmentioned	
8-4	Academico	NE	<unknown>	_	O	O	
8-5	EhXolanese	VVFIN	<unknown>	_	O	O	
8-6	,	$,	,	_	O	O	
8-7	über	APPR	über	_	O	O	
8-8	den	PRELS	die	_	O	O	
8-9	Sie	PPER	Sie	_	O	O	
8-10	Zeugniß	NN	<unknown>	_	O	O	
8-11	eingeholt	VVPP	einholen	_	O	O	
8-12	,	$,	,	_	O	O	
8-13	bin	VAFIN	sein	_	O	O	
8-14	ich	PPER	ich	_	O	O	
