#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.LetterEntity|entity_id|value

#Text=929 Prof. Gerhard Braun an Gerhard Rom , 23 . Juli 1835 Roma li 23 Luglio 1835 .
2-1	10-13	929	CARD	929	_	_	
2-2	14-19	Prof.	NN	Prof.	_	_	
2-3	20-27	Gerhard	NE	Gerhard	*	PERaddressee	
2-4	28-33	Braun	NE	Braun	*	PERauthor	

#Text=Hochverehrtester Freund !
3-1	91-107	Hochverehrtester	ADJA	<unknown>	_	_	
3-2	108-114	Freund	NN	Freund	_	_	
3-3	115-116	!	$.	!	_	_
3-4	77-83	Luglio	NN	<unknown>	*[7]	DATEletter[7]
3-5	84-88	1835	CARD	@card@	*[7]	DATEletter[7]		
