Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	2. Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	Fingierter Brieftitel	Absenderort	Gaz-ID AO	Wann der Brief verfasst wurde	Umfang des Briefes	Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Empfängerort	ga-ID EO	Briefzusammenhang
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1846-06-01	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1846-07-06	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-03-15	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-05-29	2 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-06-07	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-07-24	2 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-10-08	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-10-22	2 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1847-12-18	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1848-01-04	2 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1848-03-14	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1848-06-08	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1848-07-03	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1848-11-25	2 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Braun, Emil,	116415738	Henzen, Wilhelm,	118710605	Brief von Emil Braun und Wilhelm Henzen an Eduard Gerhard.	Rom	2323295	1849-02-05	4 Seiten.	Gerhard, Eduard,	118717030					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Emil Braun - Gelehrtenbriefe von Emil Braun an Eduard Gerhard
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Istituto di Corrispondenza Archeologica <Roma>.	Rom.	2323295	1836-07-01	4 Seiten.	Istituto di Corrispondenza Archeologica 						Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Wilhelm Abeken.	Rom.	2323295		4 Seiten.	Abeken, Wilhelm	116001291					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Wilhelm Abeken.	Rom.	2323295		4 Seiten.	Abeken, Wilhelm	116001291					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Wilhelm Henzen.	Rom	2323295	1847-03-11	4 Seiten ;	Henzen, Wilhelm,	118710605					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Emil Braun.	Berlin	2282601	1842-09-24	4 Seiten	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Emil Braun.	Berlin	2282601	o.D.	4 Seiten ;	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Unbekannt.	Berlin	2282601	1850-11-12	4 Seiten.	Unbekannt						Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Carl Richard Lepsius.	Ohne Ort		1837-07-24	4 Seiten.	Lepsius, Richard,	118727699					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an August Kestner.	Vienne.	2289326			Kestner, August,	118722107					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Heinrich	116001127			Brief von Heinrich Abeken an Unbekannt.	Ohne Ort		o.D.	2 Seiten ;	Unbekannt						Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-07-06	2 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-07-03	4 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Ohne Ort		1839-01-04	2 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-09-08	4 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-09-01	4 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-08-15	4 Seiten.	Braun, Emil,	116415738					Florenz	2359590	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-08-11	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-07-25	6 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Anagni		1839-07-06	4 Seiten.	Braun, Emil,	116415738					Warschau	2097776	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Ohne Ort		1838-10-24	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Heinrich	116001291			Brief von Heinrich Abeken an Unbekannt.	Berlin	2282601	1857-08-08	4 Seiten.	Unbekannt						Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
